Date,Confirmed,Recovered,Death,Test,Daily_Confirmed,Daily_Death,Daily_Recovered
2020-11-03,1,0,0,0,1.0,0.0,0.0
2020-12-03,1,0,0,0,0.0,0.0,0.0
2020-03-13,5,0,0,0,4.0,0.0,0.0
2020-03-14,6,0,0,0,1.0,0.0,0.0
2020-03-15,18,0,0,0,12.0,0.0,0.0
2020-03-16,47,0,0,0,29.0,0.0,0.0
2020-03-17,98,0,1,0,51.0,1.0,0.0
2020-03-18,191,0,2,0,93.0,1.0,0.0
2020-03-19,359,0,4,0,168.0,2.0,0.0
2020-03-20,670,0,9,0,311.0,5.0,0.0
2020-03-21,947,0,21,0,277.0,12.0,0.0
2020-03-22,1236,0,30,0,289.0,9.0,0.0
2020-03-23,1529,0,37,0,293.0,7.0,0.0
2020-03-24,1872,0,44,0,343.0,7.0,0.0
2020-03-25,2433,0,59,0,561.0,15.0,0.0
2020-03-26,3629,0,75,0,1196.0,16.0,0.0
2020-03-27,5698,42,92,7533,2069.0,17.0,42.0
2020-03-28,7402,70,108,7641,1704.0,16.0,28.0
2020-03-29,9217,105,131,9982,1815.0,23.0,35.0
2020-03-30,10827,162,168,11535,1610.0,37.0,57.0
2020-03-31,13531,243,214,15422,2704.0,46.0,81.0
2020-01-04,15679,333,277,14396,2148.0,63.0,90.0
2020-02-04,18135,415,356,18757,2456.0,79.0,82.0
2020-03-04,20921,484,425,16160,2786.0,69.0,69.0
2020-04-04,23934,786,501,19664,3013.0,76.0,302.0
2020-05-04,27069,1042,574,20065,3135.0,73.0,256.0
2020-06-04,30217,1326,649,21400,3148.0,75.0,284.0
2020-07-04,34109,1582,725,20023,3892.0,76.0,256.0
2020-08-04,38226,1846,812,24900,4117.0,87.0,264.0
2020-09-04,42282,2142,908,28578,4056.0,96.0,296.0
2020-10-04,47029,2423,1006,30864,4747.0,98.0,281.0
2020-11-04,52167,2965,1101,33170,5138.0,95.0,542.0
2020-12-04,56956,3446,1198,35720,4789.0,97.0,481.0
2020-04-13,61049,3957,1296,34456,4093.0,98.0,511.0
2020-04-14,65111,4799,1403,33070,4062.0,107.0,842.0
2020-04-15,69392,5674,1518,34090,4281.0,115.0,875.0
2020-04-16,74193,7089,1643,40427,4801.0,125.0,1415.0
2020-04-17,78546,8631,1769,40270,4353.0,126.0,1542.0
2020-04-18,82329,10453,1890,40520,3783.0,121.0,1822.0
2020-04-19,86306,11976,2017,35344,3977.0,127.0,1523.0
